
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
506,1368,721,612,17,C,1372
508,1368,721,612,17,C,1372
510,1368,721,612,17,C,1372
512,1368,721,612,17,C,1372
514,1368,721,612,17,C,1372
516,1368,721,612,17,C,1372
518,1368,721,612,17,C,1372
520,1368,721,612,17,C,1372
522,1368,721,612,17,C,1372
524,1368,721,612,17,C,1372
526,1368,721,612,17,C,1372
528,1368,721,612,17,C,1372
530,1369,722,612,17,C,1374
532,1369,721,612,17,C,1372
534,1369,721,612,17,C,1372
536,1369,721,612,17,C,1372
538,1370,722,612,17,C,1374
540,1370,722,612,17,C,1374
542,1370,722,612,17,C,1374
544,1370,722,612,17,C,1374
546,1370,722,612,17,C,1374
548,1370,722,612,17,C,1374
550,1370,722,612,17,C,1374
552,1370,722,612,17,C,1374
554,1370,722,612,17,C,1374
556,1370,722,612,17,C,1374
PC: h
----Menu----

Smart UPS Emulator v0.1
Compiled at: Oct 10 2024, 14:06:12

Present Settings:
Enable reporting/Shutdown to to the PC 
   (0=No PC reporting/shutdown. 1=Enabled)
ENCn   - While in Config mode                : 0
ENRn   - While in Normal run mode            : 1
BCn    - Battery Chemistry
             0=PbAc 1=Li-Ion 2=LFP 3=AGM     : 2
TMnnnn - System design capacity in Minutes   : 60
BSn    - Bat System Volts 1=12V 2=24V 4=48V  : 1
BFnnnn - Battery Full Charge voltage  (V*100): 1360
BDnnnn - Shut Down at battery voltage (V*100): 1240
BLnn   = Host may shutdown at Low Capacity % : 5
TSnnnn - Shut down at this many minutes left : 5
CLnnnn - Calibrate low voltage point (V*100) : 0
         (Low V A2D value: 0)
CHnnnn - Calibrate high voltage point (V*100): 1357
         (High V A2D value: 713)
BYnn   - delta centi-Volts before reporting  : 2
TRnn   - Report every nn seconds             : 1
Dx     - Debug flags (in hexadecimal)        : 0x2
User Discharge Capacity Curve:
BVn,nn - Point#(0-3), Volts*100
BPn,nn - Point#(0-3), % caPacity
Z   - Restore factory defaults
ZCD - Restore compiled factory defaults
ZSF - Save Factory defaults (Factory use only)
Batt Remaining = 100%, 120:0, BatV Internal: 1374, BatV: 1370, Status = 0x104 AC FULL
HP - Show HID Parameters
HC - Show Capacity configs
Z  - Restore Factory Defaults
ZU - Restore User Config
#  - WDog Reset
Size of StoreEE: 373
558,1370,722,612,17,C,1374
560,1370,722,612,17,C,1374
562,1370,722,612,17,C,1374
564,1370,722,612,17,C,1374
